Year,Month,Day,Activity,Time,cleaned_species
2019,November,2,Snorkeling,Not Specified,Tiger Shark
2019,October,29,Snorkeling,10:20 AM,Tiger Shark
2019,October,27,Surfing,12:45 PM,Not Specified
2019,October,25,Kayak fishing,08:30 AM,White Shark
2019,October,21,Snorkeling,11:30 AM,Oceanic Whitetip Shark
2019,October,17,Surfing,05:30 PM,Not Specified
2019,October,8,Surfing,12:00 PM,Not Specified
2019,October,5,Surfing,04:00 PM,White Shark
2019,October,5,Kayaking,04:30 PM,White Shark
2019,September,28,Fishing,Not Specified,Not Specified
2019,September,26,Surfing,09:15 AM,Not Specified
2019,September,24,Swimming,05:00 PM,Not Specified
2019,September,24,Surfing,04:30 PM,Not Specified
2019,September,18,Snorkeling,10:40 AM,Not Specified
2019,September,15,Not Specified,Not Specified,Not Specified
2019,September,7,Spearfishing,09:00 AM,White Shark
2019,August,31,Spearfishing,Not Specified,Nurse Shark
2019,August,31,Not Specified,Not Specified,Not Specified
2019,August,27,Surfing,11:55 AM,Not Specified
2019,August,21,Wading,09:00 AM,Not Specified
2019,August,20,Swimming/ Treading water,08:00 AM,Not Specified
2019,August,16,Spearfishing,12:30 PM,Grey Reef Shark
2019,August,16,Wading,11:00 AM,Not Specified
2019,August,11,Surfing,07:30 PM,Not Specified
2019,August,4,Standing,03:00 PM,Not Specified
2019,August,3,Surfing,04:00 PM,Not Specified
2019,August,3,Surfing,03:30 PM,Not Specified
2019,August,3,Spearfishing / Diving,Not Specified,Not Specified
2019,July,29,Swimming,10:20 PM,Cookiecutter Shark
2019,July,30,Fishing ,Not Specified,Blacktip Shark
2019,July,29,Surfing,01:30 PM,Not Specified
2019,July,28,Snorkeling,06:30 PM,Not Specified
2019,July,27,Boogie boarding,04:30 PM,Not Specified
2019,July,27,Surfing,Not Specified,Spinner Shark
2019,July,22,Surfing,06:30 PM,Tiger Shark
2019,July,18,Diving,Not Specified,Not Specified
2019,July,16,Body-surfing,04:30 PM,Not Specified
2019,July,12,Boogie boarding,07:30 AM,Not Specified
2019,July,10,Surfing,10:30 AM,White Shark
2019,July,9,Paddle boarding,08:00 AM,Bull Shark
2019,July,6,Fishing,Not Specified,Not Specified
2019,July,4,Snorkeling,05:30 PM,Not Specified
2019,June,30,Surfing,04:30 PM,Not Specified
2019,June,26,Snorkeling,02:00 PM,Not Specified
2019,June,21,Spearfishing,Not Specified,Not Specified
2019,June,16,Swimming,04:00 PM,Not Specified
2019,June,17,Snorkeling,Not Specified,Not Specified
2019,June,16,Swimming,09:00 AM,Bull Shark
2019,June,10,Surfing,02:00 PM,Not Specified
2019,June,5,Surfing,01:00 PM,Not Specified
2019,June,2,Standing,12:20 PM,Not Specified
2019,May,29,Fishing,Not Specified,Not Specified
2019,May,25,Swimming,08:48 AM,Not Specified
2019,May,25,Swimming,04:00 PM,Bull Shark
2019,May,20,Body Boarding,Not Specified,Not Specified
